year,week,total_cases,total_tests,min_date,time,epidemia_time,.prediction,.lower,.upper,.width,.point,.interval
2020,32,1302,31166,2020-08-02,1,2,2079.5,950.8500000000001,4060.1999999999935,0.95,median,qi
2020,33,1520,32395,2020-08-09,2,3,1496,741.7250000000003,2734.2999999999984,0.95,median,qi
2020,34,1144,31176,2020-08-16,3,4,1098,523.95,1955.174999999999,0.95,median,qi
2020,35,1058,29172,2020-08-23,4,5,806.5,397.975,1507.1499999999992,0.95,median,qi
2020,36,767,30833,2020-08-30,5,6,642.5,322.8000000000002,1132.2499999999986,0.95,median,qi
2020,37,543,28305,2020-09-06,6,7,526.5,262.975,923.0499999999997,0.95,median,qi
2020,38,660,36286,2020-09-13,7,8,470.5,219.9250000000001,828.0499999999997,0.95,median,qi
2020,39,507,36384,2020-09-20,8,9,444,230,808.0749999999996,0.95,median,qi
2020,40,496,39037,2020-09-27,9,10,456.5,221.9250000000001,802,0.95,median,qi
2020,41,527,42681,2020-10-04,10,11,508,251.90000000000012,972.2249999999988,0.95,median,qi
2020,42,545,42719,2020-10-11,11,12,609,285,1069.0249999999999,0.95,median,qi
2020,43,627,44867,2020-10-18,12,13,752.5,396.8750000000001,1287.0749999999996,0.95,median,qi
2020,44,742,47744,2020-10-25,13,14,997,492.95000000000005,1775.174999999999,0.95,median,qi
2020,45,1146,49928,2020-11-01,14,15,1391.5,692.8250000000003,2395.0749999999994,0.95,median,qi
2020,46,1542,55460,2020-11-08,15,16,1824.5,889.8000000000002,3276.199999999999,0.95,median,qi
2020,47,2078,71210,2020-11-15,16,17,2467.5,1142.925,4325.799999999996,0.95,median,qi
2020,48,2579,54809,2020-11-22,17,18,3107.5,1480,5840.499999999997,0.95,median,qi
2020,49,4530,80936,2020-11-29,18,19,3821,1856.7500000000005,6877.749999999996,0.95,median,qi
2020,50,5275,83539,2020-12-06,19,20,4342,2115.9000000000005,7849.299999999998,0.95,median,qi
2020,51,5576,87676,2020-12-13,20,21,4735,2427.7250000000004,8530.699999999992,0.95,median,qi
2020,52,4579,65866,2020-12-20,21,22,4802.5,2309.6750000000006,8330.099999999995,0.95,median,qi
2020,53,5913,65825,2020-12-27,22,23,4565.5,2318.925,8097.349999999993,0.95,median,qi
2021,1,6514,87899,2021-01-03,23,24,4192,1999,7645.274999999993,0.95,median,qi
2021,2,5037,87495,2021-01-10,24,25,3784,1889.8750000000002,6689.05,0.95,median,qi
2021,3,3436,78550,2021-01-17,25,26,3137,1587.9,5712.299999999998,0.95,median,qi
2021,4,2684,73313,2021-01-24,26,27,2685,1346.9750000000001,4876.5499999999975,0.95,median,qi
2021,5,2181,75484,2021-01-31,27,28,2140.5,1011.8500000000003,3891.199999999999,0.95,median,qi
2021,6,1558,72119,2021-02-07,28,29,1748.5,857.9000000000001,3221.224999999999,0.95,median,qi
