variable,time,value,.lower,.upper,.width,.point,.interval,total_cases
cases,0,74,36,133,0.95,median,qi,43
cases,9,279,139,514,0.95,median,qi,323
cases,10,291,143.97500000000008,546.0250000000001,0.95,median,qi,371
cases,11,270,134.9750000000001,495.0250000000001,0.95,median,qi,298
cases,12,222,109,417,0.95,median,qi,195
cases,13,182,91,337,0.95,median,qi,163
cases,14,149,73,275,0.95,median,qi,196
cases,15,109,51,209,0.95,median,qi,112
cases,16,74,31,158,0.95,median,qi,54
cases,1,79,38,141,0.95,median,qi,80
cases,2,79,38,145,0.95,median,qi,57
cases,3,80,39.975000000000094,144,0.95,median,qi,49
cases,4,80,39,148.0250000000001,0.95,median,qi,133
cases,5,79,37,144,0.95,median,qi,121
cases,6,137,68,260,0.95,median,qi,167
cases,7,191,91,359,0.95,median,qi,238
cases,8,233.5,115,445,0.95,median,qi,186
