variable,time,value,.lower,.upper,.width,.point,.interval,week,total_cases,total_tests,total_incid,total_E2I,case_detection,total_casemean,empiric_rho,empiric_posprob,true_rt,time.y,coverage
rt,10,2.1249828546484517,1.574147875767011,2.8670301598975922,0.95,median,qi,8,209,1293,17754,15745,0.01327405525563671,263.82357,1.0266090684947185e-5,0.1616395978344934,1.4903758333333332,8,FALSE
rt,11,1.7898515231506544,1.3179288874355735,2.4083558513079266,0.95,median,qi,9,403,1857,20085,18781,0.02145785634417762,449.5887,1.155511919449522e-5,0.21701669359181475,1.3043389487179486,9,FALSE
rt,12,1.390416542055151,1.0206413952606637,1.8769771244684745,0.95,median,qi,10,636,2258,18953,19526,0.03257195534159582,566.6435100000001,1.4425135226570337e-5,0.2816651904340124,1.0609778461538464,10,TRUE
rt,13,1.127642491168309,0.8217900259089602,1.510795138126442,0.95,median,qi,11,547,2625,15967,17472,0.03130723443223443,588.80421,1.192656549799407e-5,0.2083809523809524,0.8883550000000001,11,TRUE
rt,14,0.8351092798871742,0.6028185715580842,1.1270530630812536,0.95,median,qi,12,770,2992,13048,14635,0.05261359754014349,562.27347,1.7584758536144215e-5,0.25735294117647056,0.7746652333333334,12,TRUE
rt,15,0.6423307449343223,0.4468141781432681,0.8976267842259096,0.95,median,qi,13,546,3202,9982,11683,0.04673457159976033,480.58866,1.4595431480249948e-5,0.17051842598376016,0.6825072,13,TRUE
rt,16,0.5345278825288784,0.35358133556841187,0.780122154816172,0.95,median,qi,14,361,3325,7070,8846,0.04080940538096315,377.75502000000006,1.2273505377733278e-5,0.10857142857142855,0.5954726153846153,14,TRUE
rt,17,0.49755334068894963,0.3063177058068284,0.7968772787486285,0.95,median,qi,15,208,3448,4346,5845,0.03558597091531223,258.79212,1.0320757226018628e-5,0.06032482598607888,0.47777938461538466,15,TRUE
rt,18,0.4977319011904784,0.24843299996895932,0.9866203511176265,0.95,median,qi,16,141,3675,2465,3547,0.03975190301663377,166.87548,1.0816844358267694e-5,0.03836734693877551,0.4002064444444445,16,TRUE
rt,2,1.3927753280597814,0.7370284531253508,2.5959926953827006,0.95,median,qi,0,14,700,3054,2916,0.00480109739368998,26.244,6.858710562414267e-6,0.02,1.0240546133333337,0,TRUE
rt,3,1.5627426805227684,0.7841654191510616,3.1121128010236503,0.95,median,qi,1,24,700,3232,3111,0.00771456123432979,27.999,1.1020801763328285e-5,0.03428571428571429,1.07132778,1,TRUE
rt,4,1.7787015166752909,0.8997940088276288,3.563435460795373,0.95,median,qi,2,12,700,3468,3342,0.00359066427289048,30.078000000000003,5.12952038984355e-6,0.01714285714285714,1.1165158,2,TRUE
rt,5,1.9933137833180663,1.047281770442002,3.8421251247934105,0.95,median,qi,3,22,700,4173,3837,0.00573364607766484,34.533,8.190922968092632e-6,0.03142857142857143,1.1888162666666668,3,TRUE
rt,6,2.2495580440209046,1.304261952407666,3.929566352761436,0.95,median,qi,4,63,700,5384,4677,0.01347017318794098,42.093,1.9243104554201412e-5,0.09,1.3559970666666668,4,TRUE
rt,7,2.5452733191552683,1.7449280898062187,3.648147252301398,0.95,median,qi,5,45,700,7488,6319,0.00712137996518436,56.871,1.0173399950263375e-5,0.06428571428571428,1.5074009000000002,5,FALSE
rt,8,2.5867988033184837,1.9249796594257356,3.536670121580996,0.95,median,qi,6,75,781,10172,8669,0.00865151689929634,87.54597000000001,1.1077486426755882e-5,0.09603072983354674,1.578641717948718,6,FALSE
rt,9,2.3153538195720946,1.7311924210365648,3.062128408622697,0.95,median,qi,7,173,969,14028,11842,0.0146090187468333,148.17519,1.5076386735638086e-5,0.1785345717234262,1.5708662564102562,7,FALSE
